Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,104,Myanmar,MMR,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,24420,,,,24420,,141546,,,0
H5,2019,2019,2019,6,1,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,81771,,,,81771,,259441,,,0
H5,2019,2019,2019,6,1,2,Export,124,Canada,CAN,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,28119,,,,28119,,134647,,,0
H5,2019,2019,2019,6,1,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,5846135,,,,5846135,,19571048,,,0
H5,2019,2019,2019,6,1,2,Export,170,Colombia,COL,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,36907652,,,,36907652,,120953632,,,0
H5,2019,2019,2019,6,1,2,Export,170,Colombia,COL,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,65209239,,,,65209239,,192618910,,,0
H5,2019,2019,2019,6,1,2,Export,170,Colombia,COL,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,19789451,,,,19789451,,58843548,,,0
H5,2019,2019,2019,6,1,2,Export,170,Colombia,COL,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,62399764,,,,62399764,,183928101,,,6
H5,2019,2019,2019,6,1,2,Export,170,Colombia,COL,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,326560923,,,,326560923,,987726275,,,0
H5,2019,2019,2019,6,1,2,Export,191,Croatia,HRV,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,23778,,,,23778,,40554,,,0
H5,2019,2019,2019,6,1,2,Export,196,Cyprus,CYP,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,5,,,,5,,63,,,0
H5,2019,2019,2019,6,1,2,Export,196,Cyprus,CYP,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,507,,,,507,,9476,,,0
H5,2019,2019,2019,6,1,2,Export,208,Denmark,DNK,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,62,,,,62,,1207,,,0
H5,2019,2019,2019,6,1,2,Export,208,Denmark,DNK,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,563,,,,563,,8779,,,0
H5,2019,2019,2019,6,1,2,Export,208,Denmark,DNK,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,7,,,,7,,124,,,0
H5,2019,2019,2019,6,1,2,Export,208,Denmark,DNK,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,3105,,,,3105,,15515,,,0
H5,2019,2019,2019,6,1,2,Export,222,El Salvador,SLV,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,2338414,,,,2338414,,6623265,,,0
H5,2019,2019,2019,6,1,2,Export,222,El Salvador,SLV,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,3999152,,,,3999152,,9879558,,,0
H5,2019,2019,2019,6,1,2,Export,222,El Salvador,SLV,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,2645392,,,,2645392,,7184709,,,0
H5,2019,2019,2019,6,1,2,Export,222,El Salvador,SLV,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,2136692,,,,2136692,,7645472,,,0
H5,2019,2019,2019,6,1,2,Export,222,El Salvador,SLV,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,16245638,,,,16245638,,49159616,,,0
H5,2019,2019,2019,6,1,2,Export,246,Finland,FIN,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,122780,,,,122780,,283886,,,0
H5,2019,2019,2019,6,1,2,Export,246,Finland,FIN,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1979,,,,1979,,32623,,,0
H5,2019,2019,2019,6,1,2,Export,246,Finland,FIN,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,6,,,,6,,109,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1490470,,,,1490470,,3721225,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,276885,,,,276885,,981373,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,630713,,,,630713,,1413337,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,160,,,,160,,16069,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,261557,,,,261557,,4706277,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1284238,,,,1284238,,3626165,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,8149172,,,,8149172,,21907275,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,6300,,,,6300,,37253,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,6107828,,,,6107828,,13463707,,,0
H5,2019,2019,2019,6,1,2,Export,288,Ghana,GHA,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,113,,,,113,,312,,,0
H5,2019,2019,2019,6,1,2,Export,300,Greece,GRC,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,31582,,,,31582,,243644,,,0
H5,2019,2019,2019,6,1,2,Export,300,Greece,GRC,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,11750,,,,11750,,281729,,,0
H5,2019,2019,2019,6,1,2,Export,300,Greece,GRC,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,12,,,,12,,152,,,0
H5,2019,2019,2019,6,1,2,Export,320,Guatemala,GTM,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,16533641,,,,16533641,,49036116,,,0
H5,2019,2019,2019,6,1,2,Export,320,Guatemala,GTM,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,8097872,,,,8097872,,25539068,,,0
H5,2019,2019,2019,6,1,2,Export,320,Guatemala,GTM,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,10396028,,,,10396028,,30508076,,,0
H5,2019,2019,2019,6,1,2,Export,320,Guatemala,GTM,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,28885293,,,,28885293,,87059017,,,0
H5,2019,2019,2019,6,1,2,Export,320,Guatemala,GTM,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,82510354,,,,82510354,,262797327,,,0
H5,2019,2019,2019,6,1,2,Export,344,"China, Hong Kong SAR",HKG,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,328,,,,328,,3270,,,0
H5,2019,2019,2019,6,1,2,Export,344,"China, Hong Kong SAR",HKG,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,38,,,,38,,2602,,,0
H5,2019,2019,2019,6,1,2,Export,348,Hungary,HUN,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,18772,,,,18772,,256099,,,0
H5,2019,2019,2019,6,1,2,Export,348,Hungary,HUN,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,3900,,,,3900,,103652,,,0
H5,2019,2019,2019,6,1,2,Export,348,Hungary,HUN,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,6471,,,,6471,,118118,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,15606023,,,,15606023,,44758691,,,6
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,15657004,,,,15657004,,44904906,,,6
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,21043872,,,,21043872,,60354653,,,6
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,23891772,,,,23891772,,68522545,,,6
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,88503003,,,,88503003,,253830097,,,6
H5,2019,2019,2019,6,1,2,Export,376,Israel,ISR,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,154809,,,,154809,,444000,,,6
H5,2019,2019,2019,6,1,2,Export,381,Italy,ITA,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,71272,,,,71272,,152483,,,0
H5,2019,2019,2019,6,1,2,Export,381,Italy,ITA,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1644814,,,,1644814,,3321432,,,0
H5,2019,2019,2019,6,1,2,Export,381,Italy,ITA,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,23248,,,,23248,,150659,,,0
H5,2019,2019,2019,6,1,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,163819,,,,163819,,1160842,,,0
H5,2019,2019,2019,6,1,2,Export,384,Côte d'Ivoire,CIV,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,13481419,,,,13481419,,19459535,,,0
H5,2019,2019,2019,6,1,2,Export,384,Côte d'Ivoire,CIV,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,1531560,,,,1531560,,2112073,,,0
H5,2019,2019,2019,6,1,2,Export,384,Côte d'Ivoire,CIV,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,2296509,,,,2296509,,3656317,,,0
H5,2019,2019,2019,6,1,2,Export,384,Côte d'Ivoire,CIV,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,654000,,,,654000,,798374,,,0
H5,2019,2019,2019,6,1,2,Export,388,Jamaica,JAM,56,Belgium,BEL,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,7590,,,,7590,,251963,,,0
H5,2019,2019,2019,6,1,2,Export,388,Jamaica,JAM,276,Germany,DEU,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,900,,,,900,,28893,,,0
H5,2019,2019,2019,6,1,2,Export,388,Jamaica,JAM,381,Italy,ITA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,150,,,,150,,4316,,,0
H5,2019,2019,2019,6,1,2,Export,388,Jamaica,JAM,392,Japan,JPN,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,255435,,,,255435,,6666064,,,0
H5,2019,2019,2019,6,1,2,Export,388,Jamaica,JAM,842,USA,USA,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,77432,,,,77432,,2375458,,,0
